species,year,decimalLongitude,decimalLatitude
Bolitoglossa subpalmata,2010,-84.105983,10.103117
Agalychnis annae,2013,-84.047282,9.986737
Agalychnis annae,2013,-84.180364,9.928224
Agalychnis annae,2013,-84.02338,9.859402
Agalychnis annae,2013,-84.017415,9.905162
Lithobates warszewitschii,2010,-84.281267,9.904183
Platymantis dorsalis,2006,-84.05,9.9
Espadarana prosoblepon,2022,-84.010729,9.941473
Dendropsophus microcephalus,2023,-84.435647,9.936739
Craugastor fitzingeri,2023,-84.376547,9.937146
Smilisca sordida,2023,-84.376547,9.937146
Lithobates forreri,2023,-84.376547,9.937146
Dendropsophus microcephalus,2023,-84.376547,9.937146
Rhinella horribilis,2022,-84.379289,9.939676
Scinax elaeochroa,2023,-84.376547,9.937146
Rhaebo haematiticus,2023,-84.376547,9.937146
Espadarana prosoblepon,2023,-84.009047,9.94021
Lithobates forreri,2023,-84.376547,9.937146
Rhinella horribilis,2023,-84.195167,10.002017
Leptodactylus savagei,2023,-84.376547,9.937146
Craugastor fitzingeri,2023,-84.376547,9.937146
Smilisca sordida,2023,-84.376547,9.937146
Espadarana prosoblepon,2023,-84.009052,9.940208
Espadarana prosoblepon,2023,-84.009055,9.940202
Rhinella horribilis,2022,-83.841999,9.784715
Lithobates forreri,2019,-84.077774,9.980101
Incilius coccifer,2022,-84.376547,9.937146
Lithobates brownorum,2022,-84.078789,9.981645
Rhinella horribilis,2017,-84.119066,9.882729
Cochranella granulosa,2018,-84.376264,9.939826
Craugastor podiciferus,2022,-84.076899,10.077988
Agalychnis annae,2018,-84.114119,9.995249
Smilisca phaeota,2022,-84.060284,9.894981
Rhinella horribilis,2015,-84.278777,9.919995
Agalychnis annae,2014,-84.047292,9.957863
Agalychnis annae,2023,-84.077998,9.844744
Oedipina uniformis,2022,-84.109096,10.000848
Craugastor stejnegerianus,2010,-84.083012,10.071375
Isthmohyla pseudopuma,2010,-84.083012,10.071375
Craugastor stejnegerianus,2010,-84.083012,10.071375
Craugastor stejnegerianus,2010,-84.083012,10.071375
Craugastor podiciferus,2022,-84.077831,10.078903
Sachatamia albomaculata,2022,-84.276092,9.92123
Craugastor underwoodi,2015,-83.779999,9.75
Leptodactylus savagei,2022,-84.274528,9.918712
Lithobates warszewitschii,2022,-84.129313,9.887847
Espadarana prosoblepon,2022,-84.12956,9.886455
Hyalinobatrachium fleischmanni,2022,-84.138937,9.891542
Smilisca sordida,2022,-83.768028,9.907022
Hyalinobatrachium fleischmanni,2022,-84.139063,9.891578
Agalychnis annae,2019,-83.810103,9.881192
Agalychnis annae,2022,-84.005051,9.83656
Smilisca sordida,2022,-84.084619,9.988005
Lithobates warszewitschii,2022,-83.97851,9.929559
Agalychnis annae,2022,-84.005302,9.814345
Agalychnis spurrelli,2009,-84.176238,9.976389
Pristimantis cruentus,2022,-83.925707,9.764417
Lithobates warszewitschii,2022,-84.049328,9.937492
Agalychnis annae,2022,-84.11518,10.034352
Smilisca phaeota,2022,-83.838216,9.782534
