species,year,decimalLongitude,decimalLatitude
Cebus capucinus,2013,-84.28376,9.916182
Bradypus variegatus,2013,-84.050476,9.937148
Didelphis marsupialis,2014,-84.441026,9.97355
Sciurus variegatoides,2012,-84.22126,10.01644
Cuniculus paca,2009,-84.22126,10.01644
Cebus imitator,2009,-84.380371,9.98159
Sciurus vulgaris,2014,-83.990128,9.906869
Sciurus vulgaris,2014,-83.990128,9.906869
Sciurus vulgaris,2014,-83.990128,9.906869
Canis latrans,2023,-84.077477,10.06801
Sciurus variegatoides,2023,-84.069892,9.934881
Sciurus variegatoides,2023,-84.208425,10.059562
Didelphis marsupialis,2023,-84.124008,9.935227
Cebus imitator,2023,-84.101678,10.09245
Choloepus hoffmanni,2012,-83.983378,9.970475
Bradypus variegatus,2023,-84.047797,9.937395
Bradypus variegatus,2023,-84.049553,9.936563
Sciurus variegatoides,2023,-84.213965,10.016245
Sphiggurus mexicanus,2015,-83.969351,9.963756
Didelphis marsupialis,2022,-84.118444,10.021732
Dasypus novemcinctus,2012,-83.968116,9.96791
Sciurus variegatoides,2023,-84.450251,9.987262
Cuniculus paca,2023,-84.144211,9.930858
Bradypus variegatus,2023,-84.09321,9.972987
Choloepus hoffmanni,2023,-84.274918,10.013159
Sciurus variegatoides,2023,-84.078653,9.979863
Sciurus variegatoides,2023,-84.078604,9.981358
Canis latrans,2022,-83.97851,9.929559
Sciurus variegatoides,2023,-84.078842,9.981668
Sciurus variegatoides,2023,-84.250242,9.984449
Dasyprocta punctata,2022,-84.379981,9.939803
Sciurus variegatoides,2022,-84.078934,9.980264
Sciurus variegatoides,2022,-84.078934,9.980264
Sciurus variegatoides,2017,-83.833975,9.827055
Sciurus variegatoides,2022,-84.072152,9.938505
Sciurus variegatoides,2023,-84.078847,9.98046
Dasypus novemcinctus,2023,-84.136296,9.880216
Sphiggurus mexicanus,2023,-84.002649,9.995748
Sciurus variegatoides,2023,-84.076829,9.912973
Sciurus variegatoides,2023,-84.051217,9.935678
Microsciurus alfari,2011,-83.783692,9.759041
Sciurus variegatoides,2023,-84.078847,9.98046
Sciurus variegatoides,2010,-84.212539,9.999972
Choloepus hoffmanni,2019,-84.077058,9.83352
Sciurus variegatoides,2023,-84.078778,9.981493
Sciurus variegatoides,2023,-84.079125,9.980495
Sciurus variegatoides,2012,-83.848083,9.842047
Sciurus variegatoides,2023,-84.078847,9.98046
Sciurus variegatoides,2019,-84.05031,9.937432
Nasua narica,2023,-84.086642,10.056872
Sciurus granatensis,2023,-84.21417,10.015939
Sciurus variegatoides,2023,-84.21395,10.016125
Choloepus hoffmanni,2023,-83.994063,10.010158
Sphiggurus mexicanus,2021,-84.147591,9.935585
Bradypus variegatus,2023,-84.050148,9.937766
Sciurus variegatoides,2023,-84.072469,9.938809
Sciurus variegatoides,2023,-84.078847,9.98046
Bradypus variegatus,2022,-84.048446,9.936995
Proechimys semispinosus,2006,-84.18,10.07
Melanomys caliginosus,2006,-84.18,10.07
Oligoryzomys fulvescens,2006,-84.18,10.07
Oryzomys couesi,2006,-84.18,10.07
Oryzomys couesi,2006,-84.18,10.07
Oryzomys couesi,2006,-84.18,10.07
Oryzomys couesi,2006,-84.18,10.07
Heteromys desmarestianus,2006,-84.18,10.07
Marmosa zeledoni,2006,-84.18,10.07
Choloepus hoffmanni,2022,-84.082025,9.828364
Sciurus variegatoides,2023,-84.062678,9.940586
Alouatta palliata,2023,-84.096025,9.99161
Sciurus variegatoides,2022,-83.866408,9.839214
Nasua narica,2014,-83.787659,9.761434
Potos flavus,2021,-84.110149,10.088183
Choloepus hoffmanni,2018,-84.077023,9.834422
Rattus rattus,2022,-84.053478,9.958819
Choloepus hoffmanni,2019,-84.073016,9.831022
Ateles geoffroyi,2011,-83.787791,9.876101
Sciurus variegatoides,2016,-84.078847,9.98046
Sciurus variegatoides,2016,-84.078847,9.98046
Tapirella bairdii,2022,-84.117879,10.108019
Sciurus variegatoides,2016,-84.078847,9.98046
Alouatta palliata,2011,-84.21417,10.015939
Choloepus hoffmanni,2022,-84.048446,9.936995
Dasypus novemcinctus,2022,-83.893651,9.879141
Sciurus variegatoides,2022,-84.251566,10.026012
Choloepus hoffmanni,2022,-84.004212,10.039177
Sciurus variegatoides,2022,-84.102391,9.936026
Sciurus variegatoides,2023,-84.323424,9.957893
Sciurus variegatoides,2022,-84.079135,9.980818
Choloepus hoffmanni,2022,-84.049878,9.937499
Procyon lotor,2022,-84.096043,9.987673
Canis latrans,2013,-83.764236,9.864833
Sciurus variegatoides,2022,-84.211952,10.01556
Tapirella bairdii,2022,-84.006296,10.039328
Sciurus variegatoides,2022,-84.140821,9.931247
Didelphis marsupialis,2022,-84.035309,9.910397
Didelphis marsupialis,2022,-83.894086,9.877747
Sciurus variegatoides,2022,-84.002564,9.949983
Nasua narica,2021,-83.780672,9.746463
Sciurus variegatoides,2022,-84.075633,9.939202
Procyon lotor,2020,-84.10218,9.92405
Sciurus variegatoides,2022,-84.109731,9.999
Sciurus variegatoides,2021,-84.287412,9.909808
Sciurus variegatoides,2022,-84.259861,9.99747
Canis latrans,2022,-84.27702,9.921344
Sciurus variegatoides,2022,-84.191813,9.927801
Procyon lotor,2022,-84.110153,9.999421
Sciurus variegatoides,2016,-84.10085,9.93607
Caluromys derbianus,2022,-83.999771,9.996339
Sciurus variegatoides,2022,-84.101811,9.935114
Sciurus variegatoides,2022,-84.101128,9.932556
Bradypus variegatus,2009,-84.093383,9.973523
Sciurus variegatoides,2018,-84.07863,9.980156
Sciurus granatensis,2012,-83.950935,9.961952
Urocyon cinereoargenteus,2022,-83.881388,9.953719
Sciurus variegatoides,2017,-84.078976,9.981466
Sciurus variegatoides,2017,-84.079251,9.981501
Sciurus variegatoides,2022,-84.207742,10.059235
Sciurus variegatoides,2022,-84.109344,9.935113
Sciurus variegatoides,2022,-84.15377,9.975181
Sciurus variegatoides,2022,-84.101852,9.9364
Sciurus variegatoides,2022,-84.251324,10.025904
Dasypus novemcinctus,2022,-84.057087,10.049041
Dasyprocta punctata,2022,-84.275604,10.012341
Urocyon cinereoargenteus,2022,-84.05969,9.929634
Sciurus variegatoides,2022,-84.021819,9.841033
Cebus imitator,2022,-84.347663,9.940245
Sciurus variegatoides,2022,-84.079336,9.981459
Sciurus variegatoides,2015,-84.237218,9.987583
Sciurus variegatoides,2018,-84.099102,9.936747
Choloepus hoffmanni,2022,-84.347162,9.940783
Sciurus variegatoides,2022,-84.047387,9.92853
Sciurus variegatoides,2020,-84.198868,10.058094
Sciurus variegatoides,2022,-84.033621,9.934776
Sciurus variegatoides,2022,-83.997221,9.922631
Sciurus variegatoides,2019,-83.943462,9.909199
Sciurus variegatoides,2022,-84.101525,9.936088
Sciurus variegatoides,2022,-84.00331,9.930197
Sciurus variegatoides,2021,-84.090725,9.928069
Sciurus variegatoides,2021,-84.050864,9.937205
Potos flavus,2022,-84.129802,10.091028
Choloepus hoffmanni,2022,-84.18837,10.137967
Choloepus hoffmanni,2022,-84.34758,9.940267
Dasypus novemcinctus,2018,-83.994044,9.936297
Alouatta palliata,2022,-84.05762,9.910884
Sciurus variegatoides,2006,-84.078847,9.98046
Nasua narica,2022,-83.783527,9.758697
Canis latrans,2022,-83.83078,9.963483
Sciurus variegatoides,2022,-84.193322,9.91903
Dasypus novemcinctus,2022,-83.997069,9.993278
Procyon lotor,2022,-84.128131,9.856185
Bradypus variegatus,2022,-84.047936,9.93807
Canis latrans,2022,-84.079193,10.065755
Procyon lotor,2022,-84.109795,10.000391
Sciurus variegatoides,2022,-84.079006,9.98158
Uroderma bilobatum,2022,-84.250221,10.024862
Nasua narica,2022,-83.783775,9.759071
Choloepus hoffmanni,2020,-84.051474,9.906878
Sciurus variegatoides,2022,-83.933465,9.828417
