species,year,decimalLongitude,decimalLatitude
Mangifera indica,2012,-84.213852,10.016503
Liriodendron tulipifera,2012,-84.213852,10.016503
Lantana camara,2013,-84.205315,9.99683
Heliconia aurantiaca,2011,-83.833923,9.768611
Heliconia rostrata,2013,-84.205315,9.99683
Ficus americana,2011,-83.833923,9.768611
Ficus benjamina,2012,-84.109741,9.948308
Duranta erecta,2013,-84.28376,9.916182
Dalbergia retusa,2014,-84.08197,9.936388
Cyathea arborea,2011,-83.833923,9.768611
Alpinia purpurata,2013,-84.205315,9.99683
Zinowiewia integerrima,2000,-84.0,10.03
Woodwardia spinulosa,2004,-84.14,9.88
Werauhia werckleana,2004,-83.96,9.87
Witheringia coccoloboides,2000,-83.78,9.77
Witheringia coccoloboides,2000,-84.11,10.12
Cuatresia cuneata,2000,-84.01,10.06
Warczewiczella discolor,2003,-83.96,9.87
Vriesea incurva,2004,-83.96,9.87
Vittaria graminifolia,2004,-83.9,9.76
Viburnum costaricanum,2000,-83.98,10.06
Viburnum venustum,2000,-83.98,10.06
Eirmocephala brachiata,2000,-83.78,9.75
Urera elata,2000,-84.01,10.06
Urera elata,2000,-84.01,10.06
Triumfetta bogotensis,2004,-84.13,9.87
Tropaeolum emarginatum,2004,-84.14,9.87
Polyphlebium hymenophylloides,2005,-84.15,9.87
Trichomanes reptans,2004,-84.14,9.89
Polyphlebium hymenophylloides,2004,-84.14,9.89
Trichomanes lucens,2004,-83.9,9.76
Trichomanes ludovicinum,2004,-83.9,9.76
Trichomanes crispum,2004,-83.79,9.77
Blakea henripittieri,2000,-83.98,10.06
Tradescantia zanonia,2000,-83.98,10.06
Tradescantia poelliae,2000,-83.78,9.75
Tillandsia excelsa,2004,-83.96,9.87
Tillandsia punctulata,2004,-83.97,9.86
Tillandsia butzii,2004,-83.97,9.86
Tillandsia multicaulis,2004,-83.97,9.86
Blakea intricata,2000,-83.78,9.77
Tillandsia punctulata,2004,-84.14,9.88
Thibaudia costaricensis,2000,-83.78,9.77
Thinouia myriantha,2001,-84.27,9.9
Amauropelta pusilla,2005,-84.15,9.87
Alansmia cultrata,2005,-84.15,9.87
Alansmia lanigera,2004,-83.9,9.76
Alansmia turrialbae,2004,-83.9,9.76
Tectaria transiens,2004,-84.13,9.87
Terpsichore alsophilicola,2005,-84.15,9.87
Terpsichore asplenifolia,2004,-84.14,9.89
Terpsichore asplenifolia,2004,-83.9,9.76
Terpsichore alsophilicola,2004,-83.9,9.76
Sticherus retroflexus,2004,-83.9,9.76
Stigmatopteris longicaudata,2000,-84.0,10.03
Sticherus intermedius,2004,-83.9,9.76
Stellaria ovata,2000,-83.78,9.75
Stelis pilosa,2003,-83.96,9.87
Stanhopea costaricensis,2004,-84.08,9.87
Stanhopea saccata,2004,-83.92,9.86
Spigelia splendens,2003,-83.97,9.86
Stanhopea cirrhata,2002,-83.93,9.86
Stanhopea warszewicziana,2002,-83.93,9.86
Solanum vacciniiflorum,2000,-84.11,10.12
Solanum chrysotrichum,2000,-83.78,9.75
Solanum rovirosanum,2000,-83.98,10.06
Solanum phaseoloides,2000,-83.78,9.75
Solanum chrysotrichum,2000,-83.78,9.75
Smilax domingensis,2000,-83.78,9.77
Sisyrinchium tinctorium,2000,-83.78,9.75
Siparuna thecaphora,2000,-83.98,10.06
Selenicereus inermis,2000,-84.07,9.93
Scaphyglottis crurigera,2003,-83.97,9.86
Sciodaphyllum systylum,2000,-83.98,10.06
Salvia alvajaca,2000,-84.11,10.12
Rogiera amoena,2000,-83.98,10.06
Rorippa nasturtium-aquaticum,2000,-83.78,9.75
Richardia scabra,2002,-84.24,9.9
Randia aculeata,2003,-83.97,9.86
Pteris muricella,2004,-84.13,9.87
Pteris longipetiolulata,2004,-84.14,9.89
Pteris longipetiolulata,2004,-84.14,9.94
Pteris altissima,2004,-84.14,9.87
Psychotria jimenezii,2000,-83.98,10.06
Psychotria parvifolia,2000,-84.0,10.03
Palicourea goldmanii,2000,-83.78,9.75
Prosthechea abbreviata,2003,-83.97,9.86
Prosthechea livida,2003,-83.98,9.87
Prosthechea ochracea,2003,-83.97,9.87
Psammisia williamsii,2000,-83.98,10.06
Polystichum concinnum,2004,-84.14,9.87
Serpocaulon ptilorhizon,2004,-84.14,9.87
Serpocaulon ptilorhizon,2004,-84.14,9.88
Polytaenium lineatum,2004,-84.14,9.89
Polytaenium lineatum,2004,-83.9,9.76
Polypodium rhodopleuron,2004,-83.88,9.81
Pleopeltis plebeia,2004,-84.13,9.87
Pleopeltis myriolepis,2004,-84.14,9.87
Serpocaulon loriceum,2005,-84.15,9.88
Pleopeltis montigena,2005,-84.15,9.88
Pleopeltis myriolepis,2004,-84.14,9.89
Serpocaulon fraxinifolium,2000,-83.98,10.06
Pleurothallis homalantha,2003,-83.96,9.87
Specklinia tribuloides,2005,-84.27,9.9
Pleopeltis complanata,2004,-84.14,9.87
Pleopeltis complanata,2005,-84.15,9.88
Pleuropetalum sprucei,2004,-84.13,9.87
Piper umbellatum,2000,-84.01,10.06
Pitcairnia wendlandii,2000,-83.98,10.06
Piper pittieri,2000,-84.11,10.12
Piper irazuanum,2000,-84.11,10.12
Piper lanceifolium,2001,-83.78,9.75
Piper irazuanum,2001,-84.11,10.11
Piper biseriatum,2000,-84.01,10.06
Piper bisasperatum,2000,-83.98,10.06
Piper corrugatum,2000,-84.0,10.03
Piper biauritum,2001,-83.78,9.75
Pilea purulensis,2000,-83.78,9.77
Pilea acuminata,2000,-83.78,9.75
Phytolacca rivinoides,2000,-83.78,9.75
Picramnia teapensis,2000,-83.98,10.06
Phlebodium areolatum,2004,-84.14,9.87
Passovia pyrifolia,2000,-84.09,9.97
Phyllonoma laticuspis,2000,-83.78,9.75
Phanerophlebia juglandifolia,2004,-84.13,9.87
Phenax mexicanus,2004,-84.14,9.88
Peperomia pseudoalpina,2004,-84.14,9.88
Peperomia ternata,2000,-83.98,10.06
Peperomia ternata,2000,-84.01,10.06
Peperomia alpina,2001,-84.11,10.11
Peperomia alata,2004,-84.13,9.87
Peperomia campylotropa,2004,-83.89,9.93
Passiflora coccinea,2003,-84.24,10.07
Passiflora adenopoda,2001,-84.27,9.9
Passiflora holosericea,2000,-84.27,9.9
Parathesis glabra,2003,-83.96,9.87
Paspalum candidum,2000,-83.78,9.75
Palicourea padifolia,2000,-83.98,10.06
Osmunda regalis,2004,-83.79,9.77
Miconia alboglandulosa,2000,-83.78,9.75
Miconia alboglandulosa,2000,-83.78,9.75
Oncidium ansiferum,2003,-83.97,9.86
