species,year,decimalLongitude,decimalLatitude
Phrynonax poecilonotus,2012,-84.23135,9.904883
Bothriechis lateralis,2010,-84.128617,9.899717
Sceloporus malachiticus,2001,-84.079056,9.981066
Geophis hoffmanni,2013,-84.016594,9.964521
Iguana iguana,2013,-84.082012,9.927128
Hemidactylus frenatus,2013,-84.124031,10.023963
Bothriechis lateralis,2010,-84.111083,10.075767
Anolis cupreus,2007,-84.23341,10.03572
Anolis cupreus,2007,-84.23341,10.03572
Polychrus gutturosus,2007,-84.31796,9.91595
Ctenosaura similis,2007,-84.31796,9.91595
Anolis biporcatus,2007,-84.31796,9.91595
Anolis laeviventris,2007,-84.16309,10.11924
Anolis tropidolepis,2007,-84.16309,10.11924
Anolis cupreus,2007,-84.23341,10.03572
Iguana iguana,2023,-84.079207,9.98219
Imantodes gemmistratus,2023,-84.438573,9.973763
Iguana iguana,2023,-84.078847,9.98046
Senticolis triaspis,2023,-84.210027,9.944926
Sceloporus malachiticus,2023,-84.062683,9.941456
Anolis cupreus,2023,-84.115251,9.944559
Sceloporus malachiticus,2023,-84.110172,10.024997
Anolis humilis,2022,-83.8566,9.767385
Anolis cupreus,2023,-84.209203,10.029721
Iguana iguana,2023,-84.115251,9.944559
Sceloporus malachiticus,2018,-84.261672,10.087475
Anolis laeviventris,2023,-84.03512,10.025934
Sceloporus malachiticus,2023,-83.992338,9.929158
Anolis cupreus,2022,-83.855208,9.769161
Anolis tropidolepis,2014,-83.968969,9.964563
Sceloporus malachiticus,2015,-83.968687,9.965992
Iguana iguana,2023,-84.093104,9.973095
Anolis tropidolepis,2015,-83.968329,9.965765
Iguana iguana,2023,-84.093104,9.973089
Sceloporus malachiticus,2019,-84.078919,9.981069
Sibon nebulatus,2022,-84.376668,9.937167
Ctenosaura similis,2023,-84.251418,10.025815
Tantilla armillata,2023,-84.376547,9.937146
Ctenosaura similis,2023,-84.276979,9.987416
Holcosus quadrilineatus,2023,-84.251441,10.025795
Iguana iguana,2023,-84.274918,10.013159
Anolis biporcatus,2023,-84.273408,9.91987
